,name,nname,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
0,Luciano Azevedo,,17,9,1,0,"6'3""",161lbs,0,Orthodox,"Jun25,1981",0.76,0.45,1.97,0.27,2.2800000000000002,0.11,0.0,0.0
14,Hunter Azure,,9,2,0,0,"5'8""",145lbs,69,Orthodox,"Mar02,1992",3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3
28,Fiona Muxlow,,6,3,0,0,"5'4""",145lbs,0,,"May13,1977",1.44,0.27,5.45,0.34,0.0,0.0,0.0,0.0
42,Ho Bae Myeon,,13,5,1,0,"5'11""",168lbs,0,Orthodox,--,3.16,0.16,3.16,0.8300000000000001,0.0,0.0,0.0,0.0
56,Elvis Mutapcic,The King,15,6,1,0,"6'0""",185lbs,72,Orthodox,"Jul19,1986",3.41,0.4,4.27,0.38,0.0,0.0,0.81,0.0
70,WonBin Ki,The Danger,16,7,0,0,"5'11""",155lbs,73,Orthodox,"Feb11,1991",7.37,0.74,0.21,0.5,0.0,0.0,0.0,0.0
84,Max Mustaki,,6,3,0,0,"6'0""",155lbs,0,Orthodox,"Nov07,1987",8.2,0.5,13.0,0.45,0.0,0.0,0.0,0.0
98,Chelsea Hackett,Hammer,3,1,1,0,"5'4""",125lbs,66,Switch,"Aug16,1998",2.58,0.51,4.85,0.46,0.0,0.0,0.5700000000000001,0.0
112,Adam Lynn,,17,10,0,1,"5'10""",155lbs,0,Orthodox,--,1.47,0.63,6.95,0.1,0.0,0.0,0.5,0.0
126,Issac DeJesus,,12,7,1,1,--,145lbs,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Chris Lytle,Lights Out,31,18,5,0,"5'11""",170lbs,68,Orthodox,"Aug18,1974",3.76,0.45,3.03,0.58,0.7000000000000001,0.55,0.55,2.4
154,Landon Quinones,,5,1,1,0,"5'9""",155lbs,0,Southpaw,"Nov21,1995",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Christian Quinonez,Problema,16,3,0,0,"5'7""",135lbs,70,Orthodox,"Apr26,1996",5.07,0.41000000000000003,5.2,0.6000000000000001,1.0,1.0,1.0,0.0
182,Jose Quinonez,Teco,9,5,0,0,"5'8""",135lbs,69,Southpaw,"Jul28,1990",3.6,0.45,3.0,0.64,2.7,0.47000000000000003,0.42,0.6000000000000001
196,Michel Quinones,El Capo,8,3,0,0,"5'10""",155lbs,73,Orthodox,"Dec22,1984",2.91,0.29,5.98,0.48,0.0,0.0,0.36,0.0
210,Josh Quinlan,The Maverick,5,0,0,1,"6'0""",170lbs,72,Orthodox,"Feb06,1993",16.6,0.72,2.55,0.33,0.0,0.0,1.0,0.0
