fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated
1,Luciano Azevedo,16,9,1,0,"6' 3""",161 lbs.,73,Orthodox,"Jun 25, 1981",0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0,2018-11-21 19:35:04.893952
2,Michael Byrnes,5,2,0,0,"5' 11""",155 lbs.,71,,"Jul 17, 1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:35:09.304165
3,Gleidson Cutis,7,3,0,0,"5' 9""",155 lbs.,0,Orthodox,"Feb 07, 1989",2.99,0.52,8.28,0.59,0.0,0.0,0.0,0.0,2018-11-21 19:35:11.211072
4,Rolando Dy,9,7,1,1,"5' 8""",145 lbs.,69,Orthodox,"Aug 11, 1990",3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0,2018-11-21 19:35:14.677808
5,Jessica Eye,13,6,0,1,"5' 6""",125 lbs.,66,Orthodox,"Jul 27, 1986",3.42,0.36,3.32,0.59,0.59,0.71,0.6,0.8,2018-11-21 19:35:17.495278
6,Katsuaki Furuki,1,1,0,0,"6' 0""",168 lbs.,73,,"Nov 10, 1980",0.27,0.1,2.67,0.39,0.0,0.0,0.0,3.0,2018-11-21 19:35:21.053769
7,Mike Guymon,12,5,1,0,"6' 0""",170 lbs.,74,Orthodox,"Sep 17, 1974",2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2,2018-11-21 19:35:24.753882
8,Solomon Hutcherson,11,7,0,1,"5' 11""",185 lbs.,75,Southpaw,"Aug 31, 1972",2.59,0.39,2.59,0.64,3.53,1.0,0.0,0.0,2018-11-21 19:35:29.021504
9,Hiroshi Izumi,4,2,0,0,,205 lbs.,76,Orthodox,"Jun 22, 1982",1.95,0.37,2.65,0.66,3.35,0.7,1.0,0.5,2018-11-21 19:35:32.817378
10,Cris Cyborg,20,1,0,1,"5' 8""",145 lbs.,68,Orthodox,"Jul 09, 1985",7.02,0.52,1.79,0.7,0.85,0.62,0.91,0.3,2018-11-21 19:35:36.351918
11,Mike Kyle,19,9,1,2,"6' 4""",205 lbs.,77,Orthodox,"Mar 31, 1980",4.5,0.51,2.76,0.54,1.55,0.62,0.5,0.9,2018-11-21 19:35:40.545685
12,Chris Lytle,31,18,5,0,"5' 11""",170 lbs.,68,Orthodox,"Aug 18, 1974",3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4,2018-11-21 19:35:45.808647
13,Ho Bae Myeon,12,5,1,0,"5' 11""",168 lbs.,73,Orthodox,,3.16,0.16,3.16,0.83,0.0,0.0,0.0,0.0,2018-11-21 19:35:48.967203
14,Kennedy Nzechukwu,5,0,0,0,"6' 5""",205 lbs.,82,Southpaw,"Jun 13, 1992",7.2,0.36,5.06,0.5,0.0,0.0,0.71,0.0,2018-11-21 19:35:53.476155
15,Alptekin Ozkilic,9,4,0,0,"5' 5""",125 lbs.,65,Orthodox,"Mar 27, 1986",3.81,0.32,5.72,0.59,4.21,0.58,0.75,0.0,2018-11-21 19:35:57.905297
16,Mike Pyle,27,14,1,0,"6' 0""",170 lbs.,74,Orthodox,"Sep 18, 1975",2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5,2018-11-21 19:36:02.13699
17,Jose Quinonez,8,2,0,0,"5' 8""",135 lbs.,69,,"Jul 28, 1990",3.26,0.44,2.32,0.68,2.88,0.5,0.57,1.0,2018-11-21 19:36:05.326466
18,Michel Quinones,8,3,0,0,"5' 10""",155 lbs.,73,Orthodox,"Dec 22, 1984",2.91,0.29,5.98,0.48,0.0,0.0,0.36,0.0,2018-11-21 19:36:09.492357
19,Ryan Quinn,13,7,1,0,"5' 8""",145 lbs.,70,,,2.31,0.41,1.67,0.48,0.0,0.0,0.0,1.9,2018-11-21 19:36:13.360001
20,Jimmy Quinlan,3,1,1,0,"6' 0""",185 lbs.,72,Orthodox,"May 25, 1986",2.08,0.7,5.94,0.16,4.46,0.25,0.0,0.0,2018-11-21 19:36:17.071108
21,Vinicius Queiroz,5,2,0,0,"6' 7""",220 lbs.,77,,"Aug 29, 1983",3.67,0.51,4.1,0.41,5.07,0.7,1.0,0.7,2018-11-21 19:36:21.198057
22,Nate Quarry,12,4,0,0,"6' 0""",185 lbs.,72,Open Stance,"Mar 18, 1972",4.96,0.44,2.8,0.66,0.25,0.33,0.6,0.0,2018-11-21 19:36:25.4477
23,Gary Quan,3,5,0,0,"5' 8""",143 lbs.,70,,"Apr 11, 1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:36:29.480925
24,Bao Quach,18,10,1,0,"5' 3""",145 lbs.,70,Orthodox,"Sep 04, 1979",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:36:32.361269
