iter	Passed	Remaining
0	247	247328
1	259	129676
2	273	90736
3	285	71052
4	292	58138
5	297	49352
6	303	43088
7	309	38378
8	315	34695
9	320	31759
10	326	29345
11	332	27350
12	337	25635
13	344	24267
14	350	22985
15	355	21856
16	360	20862
17	366	19982
18	371	19187
19	377	18492
20	382	17849
21	390	17341
22	395	16815
23	401	16318
24	411	16037
25	420	15741
26	430	15501
27	446	15497
28	453	15187
29	459	14848
30	464	14525
31	470	14244
32	476	13956
33	482	13718
34	488	13462
35	493	13219
36	499	12989
37	504	12775
38	513	12655
39	523	12575
40	533	12486
41	550	12566
42	560	12467
43	568	12350
44	575	12209
45	582	12071
46	589	11943
47	596	11838
48	605	11746
49	611	11623
50	617	11498
51	624	11387
52	630	11270
53	637	11170
54	644	11072
55	651	10981
56	660	10920
57	666	10821
58	672	10732
59	679	10639
60	686	10569
61	696	10530
62	706	10503
63	719	10516
64	726	10451
65	735	10409
66	743	10349
67	752	10308
68	760	10267
69	767	10200
70	775	10142
71	782	10079
72	789	10020
73	795	9950
74	802	9893
75	808	9825
76	813	9753
77	820	9701
78	828	9664
79	836	9617
80	844	9582
81	851	9536
82	861	9514
83	871	9500
84	886	9544
85	908	9653
86	918	9636
87	926	9603
88	935	9574
89	944	9550
90	953	9525
91	962	9500
92	970	9463
93	978	9431
94	986	9399
95	995	9370
96	1000	9316
97	1006	9266
98	1012	9214
99	1019	9175
100	1026	9133
101	1035	9119
102	1045	9104
103	1054	9085
104	1063	9063
105	1068	9013
106	1076	8985
107	1083	8946
108	1089	8903
109	1094	8857
110	1100	8811
111	1105	8766
112	1111	8720
113	1116	8676
114	1121	8632
115	1127	8590
116	1132	8547
117	1138	8506
118	1143	8465
119	1149	8427
120	1156	8399
121	1161	8359
122	1166	8320
123	1172	8281
124	1177	8245
125	1183	8208
126	1190	8185
127	1196	8149
128	1206	8143
129	1216	8143
130	1235	8194
131	1246	8199
132	1259	8211
133	1266	8186
134	1275	8169
135	1280	8135
136	1286	8101
137	1291	8070
138	1297	8038
139	1303	8004
140	1308	7972
141	1314	7939
142	1319	7907
143	1324	7874
144	1330	7843
145	1335	7811
146	1340	7780
147	1346	7749
148	1351	7720
149	1357	7690
150	1362	7660
151	1372	7655
152	1381	7647
153	1391	7646
154	1398	7625
155	1404	7596
156	1409	7567
157	1415	7540
158	1420	7513
159	1425	7485
160	1431	7458
161	1436	7431
162	1442	7404
163	1447	7379
164	1452	7352
165	1458	7327
166	1463	7301
167	1469	7276
168	1474	7251
169	1480	7227
170	1485	7202
171	1491	7180
172	1497	7156
173	1502	7132
174	1507	7108
175	1513	7084
176	1518	7061
177	1524	7039
178	1529	7016
179	1535	6993
180	1544	6987
181	1553	6981
182	1564	6986
183	1570	6964
184	1575	6942
185	1581	6921
186	1586	6899
187	1593	6880
188	1598	6858
189	1603	6837
190	1609	6816
191	1614	6795
192	1620	6775
193	1625	6754
194	1631	6734
195	1636	6714
196	1642	6694
197	1648	6675
198	1653	6655
199	1658	6635
200	1664	6615
201	1669	6595
202	1674	6576
203	1680	6558
204	1686	6539
205	1691	6521
206	1697	6504
207	1703	6486
208	1713	6484
209	1722	6481
210	1730	6471
211	1737	6457
212	1744	6446
213	1751	6433
214	1757	6415
215	1762	6398
216	1768	6381
217	1773	6362
218	1779	6344
219	1784	6326
220	1790	6309
221	1795	6292
222	1800	6274
223	1806	6257
224	1811	6240
225	1817	6223
226	1822	6206
227	1828	6189
228	1833	6173
229	1838	6156
230	1844	6139
231	1849	6123
232	1855	6108
233	1866	6110
234	1875	6104
235	1885	6102
236	1894	6099
237	1903	6093
238	1913	6091
239	1921	6084
240	1929	6076
241	1937	6067
242	1943	6055
243	1950	6042
244	1957	6031
245	1964	6021
246	1972	6014
247	1979	6002
248	1986	5990
249	1992	5976
250	1998	5962
251	2004	5950
252	2011	5938
253	2018	5928
254	2026	5920
255	2033	5909
256	2039	5896
257	2045	5883
258	2055	5880
259	2066	5881
260	2075	5877
261	2085	5873
262	2093	5866
263	2100	5855
264	2107	5846
265	2115	5837
266	2124	5831
267	2131	5821
268	2139	5812
269	2145	5800
